...1,IRS_audit,year,prices_adj,market_value,income_taxes,pretax_income,gross_income,net_sales_revenue,operating_profit_margin,employees,crnt_total_assets,DS_total_assets,turnover_value,turnover_volume,enterprise_value,total_capital
358,0,2009,20.08,2105.16,80900,272800,500400,4081800,7.51,12315,2852900,4378000,NA,275829.3,3283441,2458500
359,1,2010,20.85,2233.91,78200,297800,565600,4173500,8.58,12774,3294700,5047000,NA,308958.4,3672774,2998200
360,0,2004,52.94,6018.85,351000,1404000,2180000,13969000,10.47,48000,4243000,10916000,NA,850015,6532663,5361000
361,1,2005,48.73,5525.2,365000,1282000,2072000,14039000,9.79,46000,4831000,9611000,NA,1120970,5759347,4719000
362,0,2006,73.14,8665.19,324000,1666000,2306000,15715000,10.83,44000,5196000,10483000,NA,1145327,8377389,5346000
363,1,2007,119.77,14146.99,218000,1082000,1734000,16873000,6.79,49000,4959000,15616000,NA,906546.2,17263786,8766000
364,1,2008,34.85,4051.55,853000,2914000,3426000,23754000,11.79,49000,5732000,15421000,NA,1986851,6918588,8123000
365,0,2009,54.71,7842.7,-439000,-1816000,-1190000,11048000,-15.55,43000,5015000,14887000,NA,3576184,10373462,8324000
366,1,2010,58.51,8402.91,97000,-405000,457000,17374000,-0.88,42000,5304000,14835000,NA,3740063,11579447,7369000
367,0,2011,25.67,3696.42,80000,-58000,877000,19884000,0.72,43000,5774000,15424000,NA,2708346,7655182,7329000
368,1,2012,23.03,3322.79,131000,-138000,1037000,19328000,1.98,39000,5374000,14793000,NA,2446485,6825106,7414000
369,0,2013,30.09,4353.02,-560000,-2272000,724000,17424000,0.65,38500,6078000,13127000,NA,1879999,7604067,6965000
370,0,2014,26.9,3913.53,68000,28000,1425000,17507000,5.15,35500,6431000,12268000,291832.8,1792117,6008816,6920000
371,1,2015,8.2,1199.45,183000,-1497000,-114000,11574000,-4.57,33200,3917000,9175000,18280620,2473046,3570255,5553000
372,0,2004,10.275,749.99,16380,43388,160264,544058,8.43,1463,198314,684231,NA,145763.1,742365,601059
373,0,2005,10.65,804.45,12641,34511,170957,619967,6.16,1487,194194,707136,NA,118988,784910,620561
374,1,2007,16.105,1278.19,29610,77092,261430,900432,9.33,2131,316004,1058456,NA,179701.4,1247353,918080
375,1,2008,8.92,721.59,24224,65445,298709,1056371,9,2986,393041,1259384,NA,240992.1,1223399,1081533
376,0,2009,8.53,695.55,8205,-23818,275162,1135306,5.52,2022,349131,1123496,NA,211449.7,852298,959695
377,0,2010,13.815,1184.1,28995,59353,251185,917337,8.74,2059,313817,1198087,NA,206764.4,1066493,990727
378,0,2011,18.81,1657.58,37308,94438,319484,1130257,9.46,2031,371066,1333504,NA,188074.8,1667176,1096243
379,0,2012,26.34,2427.93,41154,134228,382470,1378247,10.51,3720,448808,1673593,NA,290473.8,2834908,1354890
380,1,2013,44.815,4283.26,34324,153822,462668,1734683,10.83,3665,575172,2258494,NA,343590.3,3725020,1855041
381,0,2014,59.675,6022.43,70099,207594,551593,2153611,11.16,4400,803603,2965317,500977.9,307997.2,5192061,2387694
382,0,2015,41.07,4228.64,47883,215290,595122,2688515,9.17,6307,933019,3097270,17551410,317535.4,7434938,2584295
383,1,2006,24.125,113088.1,1498000,6476000,15928000,24088000,26.97,71000,8441000,29795000,NA,3383447,113835500,18234000
384,1,2010,32.725,151977,2384000,13218000,22523000,35200000,25.81,139600,21579000,72823000,NA,5184169,162964840,45358000
385,0,2011,35.08,159349.6,2805000,10749000,28604000,46766000,23.87,146200,25497000,79731000,NA,4602987,172901110,45577000
386,0,2012,35.97,161331.1,2723000,10990000,28859000,48022000,23.15,150900,30328000,85771000,NA,2617968,178185250,47904000
387,0,2013,40.66,179551.3,2851000,10875000,28299000,46843000,23.55,130600,31304000,89727000,NA,3628298,198649620,52594000
388,0,2014,42.86,187731.5,2201000,8556000,28155000,46052000,22.9,129200,32986000,92023000,5538535,3863821,203639520,49624000
389,0,2015,43.71,190094.1,2239000,9116000,26569000,44257000,22.28,123200,33395000,90093000,148268300,3625962,209565040,54171000
390,0,2007,14.24,1930.33,5427,-721607,-40535,151440,-329.51,1990,989712,2685969,NA,315616.9,2216450,2411713
391,0,2008,4.19,793.94,61607,-530740,-169146,20489,-2001.65,1635,3165872,9124167,NA,271475.6,7118715,8853308
392,0,2009,6.88,1348.18,712,-1253134,-314921,274458,-416.22,3440,3876589,11267853,NA,330399.8,11384010,10487099
393,0,2010,5.14,1250.38,-156,-2303250,-735014,556826,-335,3600,1865601,11040486,NA,637768.2,11929422,9887017
394,0,2011,1.92,868.25,106828,-2748905,-471710,1253466,-113.67,914,1287159,8842652,NA,1953945,7990125,7665643
395,0,2012,2.88,1990.75,-197399,-1941144,-432231,1264694,-102.52,952,987688,7665789,NA,3957048,8740847,6152979
396,0,2004,53.2,143.03,0,-33924,2011,11418,-298.17,166,11552,27527,NA,5478.8,157089,16857
397,0,2005,25.6,76.81,0,-24941,3354,14746,-159.94,142,13571,24155,NA,5675,95449,3001
398,0,2006,25.52,126.44,0,-23694,-1123,7043,-402.64,127,30005,35575,NA,11556.3,114784,22703
