...1,IRS_audit,year,prices_adj,market_value,income_taxes,pretax_income,gross_income,net_sales_revenue,operating_profit_margin,employees,crnt_total_assets,DS_total_assets,turnover_value,turnover_volume,enterprise_value,total_capital
531,0,2006,43.22,1631.94,62695,148525,126841,1684070,7.53,3900,535574,1094351,NA,83220.8,1318159,777747
532,0,2007,47.64,1896.55,58669,153188,135738,2155953,6.3,5600,803092,1344505,NA,88960,1267809,908831
533,0,2008,37.7,1525.08,54038,140243,126059,2625394,4.8,5200,822420,1340795,NA,105122.3,819591,908093
534,0,2009,41.46,1457.75,57337,164008,160187,2641814,6.06,5200,753588,1423316,NA,81650.2,NA,950492
535,0,2010,47.94,1608.09,83744,222403,223361,2969240,7.52,4900,858487,1548607,NA,76313.1,954329,1039015
536,0,2011,49.84,1418.87,65037,194660,194381,2799400,6.94,4800,732709,1341167,NA,61832.5,825192,845274
537,0,2012,51.75,1415.83,37838,188865,189093,3207397,5.9,5030,871418,1512133,NA,57725,702306,1017333
538,0,2013,57.93,1593.07,39924,165185,166200,3546317,4.69,5949,989358,1759218,NA,46111.2,1050979,1190759
539,0,2014,61.32,1695.24,43689,117920,123606,3760118,3.29,6600,1167549,2094157,102859.3,51070,1168777,1395257
540,0,2015,63.06,1612.74,42409,71116,75532,4597400,1.64,6900,1097682,2042224,3067800,51188.7,1186635,1310415
541,0,2008,1.6,4.07,0,-11294,2680,12622,-41.76,38,10078,10622,NA,1255.8,5594,8232
542,0,2009,15,134.67,0,-14246,357,2193,-421.77,41,2789,3393,NA,2016.7,142511,-9523
543,0,2010,10.4,166.22,0,-3186,8335,20358,-15.81,59,9828,10573,NA,944,161158,6136
544,0,2011,4.91,81.16,204,4974,26816,62306,7.95,88,20236,21874,NA,40081.8,58696,16866
545,0,2012,3.08,51.32,0,-5444,18288,42805,-13.33,105,16885,18329,NA,6380.8,36846,13536
546,0,2013,2.76,46.15,0,-17737,3145,11350,-151.52,41,1814,2693,NA,4971.9,45174,-1519
547,0,2008,21.055,3117.02,125400,468800,980900,3115300,17.66,5000,1432800,2750300,NA,559232.3,3878070,1559300
548,1,2009,28.3,4092.18,53000,307700,959200,2826200,19.25,4800,1487700,2895500,NA,534478.2,4662253,1721100
549,1,2010,39.89,5786.88,132000,347800,1058000,3116300,17.76,4900,1646200,3005200,NA,358019.3,6243804,1692200
550,1,2011,43.145,6076.8,136500,547900,1164300,3377900,18.25,5000,1869400,3496600,NA,310660.1,6726589,2083200
551,0,2012,57.27,7868.55,146700,612900,1341200,3748300,18.58,5700,2181800,4140600,NA,167394.4,9017471,2463600
552,1,2013,75.46,10056.84,148600,616800,1340400,3874800,18.24,5600,2945000,5143800,NA,202419.8,11802954,2726200
553,0,2014,57.63,7680.18,73500,485900,1375000,4037700,17.96,6000,2934400,5140400,611752.2,300815.9,9177107,2717400
554,1,2015,40.39,5397.03,47400,-130300,1123300,3276500,11.97,6000,2971900,6039000,14847860,314854.1,7342851,3944600
555,0,2007,31.88,342.01,15235,40505,192725,1028963,4.21,1170,283388,386083,NA,46350.2,349185,280227
556,0,2008,17.63,191.5,40396,108098,286906,1227245,8.9,1140,348480,474247,NA,81087.1,262603,363156
557,0,2009,33.18,361.1,-38316,-99544,9586,523395,-18.6,981,214771,338448,NA,64857.1,349378,259612
558,0,2010,28.47,310.19,1665,3797,89864,805043,0.76,1113,298809,429438,NA,25947.1,365740,316873
559,0,2011,23.56,256.92,12515,37485,164935,1261872,3.6,1700,420859,707499,NA,18349.1,491118,521130
560,0,2012,21.19,231.35,7862,10139,164600,1383701,1.81,1870,422377,705994,NA,14347.1,476072,520626
561,0,2013,28.99,317.81,5277,12924,157551,1263331,1.56,1790,417631,697349,NA,13259.7,513206,484795
562,0,2014,18.08,198.56,2950,-16114,163010,1436270,1.02,1810,458709,700748,11215.3,9979.5,440191,524871
563,0,2015,11.27,124,-6817,-33594,128882,1175543,-0.24,1740,308946,513470,327673.8,23407.4,273755,400495
564,0,2014,20.04,812.46,0,-28999,60760,110239,-25.29,784,89988,113039,37276.8,46194,713922,88011
565,0,2015,28.92,1318.07,0,-26733,90936,150194,-17.38,1004,192907,231041,3800461,140790.3,1097096,195789
566,0,2004,27.25,3991.72,493000,1638000,NA,11083000,16.97,6150,NA,103878000,NA,183219.3,16428200,16908000
567,0,2005,34.74,11940.86,577000,1798000,NA,10504000,19.91,6900,NA,105292000,NA,482551.3,19400180,18146000
568,0,2006,34.21,15469.89,594000,1918000,NA,11029000,20.69,7200,NA,110871000,NA,614289.4,22613090,20116000
569,1,2007,25.31,11102.05,452000,1606000,NA,11125000,18.76,7000,NA,114315000,NA,833740.3,15563200,20836000
570,0,2008,2.72,1178.12,-370000,-942000,NA,12079000,16.03,6000,NA,106352000,NA,1958385,2746390,16642000
571,1,2009,11.94,5833.31,-393000,-792000,NA,10127000,6.51,6000,NA,108095000,NA,4693368,9636150,20434000
572,0,2010,13.14,6433.28,209000,76000,NA,10297000,7.2,6500,NA,111295000,NA,2363084,13299600,23854000
573,0,2011,6.45,3166.5,53000,286000,NA,10388000,8.6,6400,NA,114302000,NA,2142516,8230050,25821000
574,0,2012,7.22,3551.02,189000,712000,NA,10129000,13.65,6300,NA,113312000,NA,2428914,8507920,25003000
575,1,2007,20.32,2408.42,-58000,-103000,3959000,8852000,3.84,63264,2560000,8393000,NA,492822.1,6589846,4825000
576,1,2008,4.48,534.43,-25000,43000,3842000,8663000,4.14,60297,2709000,8174000,NA,503402.9,4805749,4881000
577,0,2009,21.32,2564.42,-23000,205000,4074000,9014000,6.61,57613,2472000,7953000,NA,513801.4,6560319,4969000
578,0,2010,26.64,3233.65,-977000,158000,4171000,9205000,7.13,56605,2311000,7873000,NA,681159.1,7305890,5816000
579,0,2011,19.96,2167.4,61000,161000,4359000,8854000,8.27,57705,2357000,8088000,NA,665786.9,6805950,5802000
580,0,2012,31.33,3335.87,125000,334000,2880000,9119000,8.04,59164,2681000,8702000,NA,1649465,8376449,6392000
581,0,2013,40.89,4057.38,-65000,-158000,3402000,11102000,6.31,103711,3710000,16040000,NA,459680.1,15175728,11815000
582,0,2014,51.7,5081.08,49000,147000,5113000,16615000,6.01,108989,4717000,18025000,141346.9,446496.9,17134007,12881000
583,0,2015,31.52,3141.57,68000,45000,5863000,18634000,7.02,134630,5171000,22906000,12407050,540785.8,19671403,17607000
584,0,2005,200.766,3060.63,-16900,192200,238600,1180700,14.75,2000,354100,1839100,NA,162208.4,3444589,1440100
585,1,2006,204.249,3146.36,19055,190748,277064,1229807,17.37,2000,298554,1962882,NA,195071.9,3774743,1571709
586,1,2007,234.948,3685.24,23759,197514,313406,1224654,20.13,2000,396220,2079041,NA,264583.4,4263720,1675356
587,0,2008,145.586,2306.39,20312,179946,278200,1232100,17.36,1950,326976,2090531,NA,486612.1,3180106,1694196
588,0,2009,21.216,3388.36,46336,361703,253795,1168567,16.36,1800,509696,2252931,NA,760351.8,3978176,1841205
589,1,2010,265.548,4299.74,15217,231770,325134,1315233,19.62,1800,609186,2363653,NA,360224.7,4656118,1926685
590,0,2011,334.809,5465.26,30357,302274,414910,1488642,23,1900,344502,2569348,NA,250199.8,6215130,2142302
591,0,2012,380.186,6253.7,88391,366526,466195,1571000,25.32,1800,566274,3122951,NA,273931,7381821,2558056
592,1,2013,318.165,5382.29,49661,380864,461255,1707822,22.55,1600,519094,3685501,NA,273248.4,6782304,3216967
593,0,2004,69.03,20274.86,385000,2523000,NA,22693000,12.22,30000,NA,259316000,NA,389176.8,24172002,18546000
594,1,2005,86.41,25955.73,711000,2985000,NA,27130000,12.1,30000,NA,284882000,NA,338747.4,29445863,19373000
595,0,2006,93.31,29573.47,857000,3602000,NA,26621000,15.03,31000,NA,326426000,NA,380875.4,33104123,22638000
596,0,2007,87.15,27351.58,1056000,4005000,NA,26399000,18,31000,NA,360053000,NA,431285.8,30668905,23155000
597,1,2008,15.54,4670.87,-1842000,-4591000,NA,13183000,3.5,31000,NA,282344000,NA,1830887,10555506,16301000
598,0,2009,23.96,9176.88,-841000,-1728000,NA,26209000,1.1,28000,NA,303777000,NA,4625514,17170580,24526000
599,1,2010,26.52,11789.22,584000,2264000,NA,22817000,14.72,26800,NA,314621000,NA,2008006,17278116,26900000
600,0,2011,16.39,7305.67,-346000,230000,NA,22033000,4.28,24400,NA,302666000,NA,1717074,11715260,29440000
601,1,2012,22.16,9668.57,-494000,-527000,NA,26761000,7.18,22500,NA,296571000,NA,1746806,15231572,29336000
602,0,2013,36.33,16242.52,-247000,63000,NA,26329000,8.89,18800,NA,274044000,NA,1261560,21622713,25095000
603,0,2014,42.24,18225.77,350000,1699000,NA,18678000,12.39,17500,NA,242116000,357947.4,872244.4,23403884,24373000
604,1,2015,44.11,18067.89,305000,1978000,NA,18485000,13.29,17400,NA,225142000,19346800,787174.4,22374149,22726000
605,1,2005,171.487,2683.3,66778,230227,NA,698792,32.96,2433,NA,12436102,NA,41906.1,5265000,2913152
606,0,2006,197.822,3057.48,39884,203575,NA,786274,26.76,2489,NA,12395027,NA,71445.3,5669296,3096963
607,0,2007,149.967,2296.65,51698,204926,NA,813185,25.72,2562,NA,12748959,NA,123148.3,5635056,3886089
608,0,2008,158.288,2596.26,16934,110525,NA,817267,23.84,2783,NA,14718129,NA,242427.6,6602726,4512326
609,0,2009,122.578,2170.79,51484,167545,NA,789813,21.94,2727,NA,14284153,NA,406032.1,5199658,4317631
610,0,2010,130.249,2316.06,55771,186941,NA,772162,24.73,2720,NA,14143826,NA,202026.4,5319356,4205627
611,0,2011,118.286,2113.95,63532,197185,NA,805663,26.9,2754,NA,14244507,NA,268491.5,4857036,4149945
612,1,2012,9.16,1810.19,66748,210375,NA,797715,27.07,2910,NA,16012646,NA,265542.8,4495542,4362198
613,0,2013,10.21,2038.19,46979,178940,NA,733803,22.89,2908,NA,16156541,NA,281024.8,4900479,3786833
614,0,2014,9.91,2294.09,31062,147234,NA,696132,23.48,2907,NA,18793855,49138.3,459077.1,4505670,3943075
615,1,2015,10.14,2361.27,23938,126895,NA,788049,25.7,2929,NA,21612616,2569015,438836.3,5296797,3567097
616,0,2011,73.65,12970.96,286263,1653635,5696572,11050073,17.16,15000,3622703,40682696,NA,395717.3,24509693,19323915
617,1,2012,62.58,11122.51,30855,899218,5660259,10301079,16.48,14625,3683126,43164754,NA,283874.3,24411430,21432459
618,0,2013,62.83,11203.79,225981,956553,5630848,11390947,14.51,13808,3929691,43344435,NA,341548.9,24482945,22108593
619,0,2014,91.16,16452.66,589597,1549854,6088011,12494921,17.5,13000,4389633,46479503,441539.2,430655.2,28377820,22842304
620,1,2015,69.2,12344.36,-642927,-799661,5801411,11513251,14.35,13579,4067412,44592778,13910370,355565.7,24808886,22713533
621,0,2014,28.55,3618.03,-9601,44842,119821,603521,11.47,320,214363,2453115,104809.6,246089.7,4218287,2197000
622,0,2015,22.77,2817.86,-859,43082,103775,544874,10.65,320,105685,2319263,3300960,242717.3,3576045,2195619
623,0,2004,5.8,10.05,0,1082,-28,0,NA,2,14756,15095,NA,1881,-4167,14765
624,0,2004,3.81,99.8,0,-18523,2222,4935,-388.96,71,52115,56116,NA,59048.8,50064,37988
625,0,2005,2.24,58.97,0,-14520,2152,4250,-353.13,49,35277,37845,NA,36970.4,24306,24621
626,0,2006,2.83,75.43,0,-12915,2586,4750,-284.13,22,21461,23868,NA,40977.7,54948,14958
627,1,2007,3.45,93.4,0,-11959,1136,1798,-649.05,14,12862,14595,NA,32681.2,74804,6288
628,1,2008,0.57,15.53,0,-9741,740,1367,-685.52,4,5127,5898,NA,32122.8,10751,-2433
629,1,2009,32.974,117.38,0,-9128,4658,4758,-175.6,19,25312,25770,NA,22899.8,96595,7094
630,1,2010,6.29,317.52,0,-11556,5090,5344,-221.29,35,95661,96515,NA,151459.3,217524,80754
631,1,2011,8.12,455.01,0,-28675,3728,4163,-692.36,61,94395,96953,NA,166213.7,367432,84495
632,1,2012,10.45,666.37,0,-52421,3159,4144,-1270.32,87,108714,112119,NA,128547.5,570728,100306
633,1,2013,12.24,868.03,0,-46514,2726,4144,-1128.4,102,135458,146627,NA,262470.4,705661,138791
634,1,2014,28.91,2560.94,NA,-100048,-2527,1798,-5591.71,236,291677,311624,527914.9,455281.8,2152117,291598
635,1,2015,9.82,946.04,NA,-157803,10836,39437,-403.35,677,326130,364296,9456839,546158.8,591508,332769
636,1,2004,43.13,12757.85,346200,771300,1028800,1438300,54.68,2500,1022600,1373000,NA,277125.3,12626909,317500
637,0,2005,61.68,18220.27,373900,934700,1243500,1731600,54.26,2900,1051800,1457200,NA,233731,17549575,609400
638,0,2006,69.06,19322.98,506600,1260500,1458200,2037100,53.94,3400,1001900,1497700,NA,377306.2,19056616,467400
639,0,2007,35.86,9266.22,415200,1116700,1632100,2259000,52.28,3600,989100,1714600,NA,969083.2,9683580,-183600
640,0,2008,19.84,4757.63,268200,725900,1187000,1755400,42.48,3900,809100,1553300,NA,1137711,5933858,-244400
641,1,2009,27.11,6411.51,239100,640100,1198800,1795300,39.16,4000,1012900,1810700,NA,1226971,7066479,150100
642,0,2010,26.53,6213.32,201000,711600,1361900,2033000,38.07,4500,1343000,2352400,NA,796533.4,6701552,929900
643,1,2011,34.11,7572.41,261800,833000,1518000,2280700,38.95,6100,1424400,2729700,NA,704778.2,8030781,1074600
644,0,2012,49.47,11026.86,324300,1019200,1841800,2730300,39.91,6800,2525700,3792400,NA,415338.2,11215642,2076300
645,0,2013,77.44,16657.34,353400,1160500,2056700,2972500,41.53,8400,2968800,4246400,NA,425119.4,16865692,2529700
646,0,2014,97.56,20351.01,455000,1451400,2308400,3334300,43.16,9900,2686400,4501200,220191.7,258746.4,20763933,2590200
647,1,2015,101.56,20078.41,430000,1367800,2394700,3484500,42.28,10400,3243100,4985700,14412470,261901.1,21208618,3068000
648,0,2006,58.005,41687.66,843000,2191000,7903000,15184000,17.91,25600,6940000,68700000,NA,543060.9,60260970,45025000
649,0,2007,60.96,25623.91,712000,2079000,6471000,12720000,19.64,17800,4925000,49704000,NA,651141.3,36286540,30878000
650,1,2008,43.95,18536.48,616000,1993000,6517000,13207000,19.13,18250,5273000,53077000,NA,787759.9,32657720,34401000
651,0,2009,52.17,22687.11,758000,1761000,6619000,12719000,20.61,18680,5766000,57040000,NA,718130.7,38072890,37999000
652,1,2010,53.49,23616.69,890000,2094000,7590000,14310000,21.4,18440,6223000,59090000,NA,676548.7,40443490,40588000
653,0,2011,66.18,29363.77,752000,2305000,7578000,14529000,21.36,18249,6880000,62526000,NA,938068,48100000,41544000
654,1,2012,63.01,44366.89,705000,2303000,9767000,19624000,19.24,27885,10122000,113856000,NA,2169811,83804200,77385000
655,0,2009,3.05,145.58,-178106,-708286,NA,-155092,NA,2561,NA,748832,NA,43165.6,466090,651462
656,1,2010,6.94,248.41,-1924,-106550,NA,692494,52.85,1623,NA,880909,NA,29338.3,876542,687210
657,0,2011,3.83,85.78,-277,-16893,NA,302788,-6,494,NA,647907,NA,35494.9,383629,538699
658,0,2012,3.42,47.01,-15609,-53119,NA,173740,-30.57,285,NA,380426,NA,15313.8,233221,279796
659,0,2013,3.59,49.09,-5114,-31216,120665,138630,-30.89,315,NA,352235,NA,1849.8,232807,191615
660,0,2014,2.44,33.94,-34632,-34288,49721,167416,-28.93,319,NA,268355,402.1,1648.2,173400,128705
661,1,2015,3.18,44.12,1829,755,50254,128103,0.16,NA,NA,280729,9107.6,2908.1,173228,116704
662,0,2008,0.77,43.14,0,-4912,19,75,-6869.75,14,3736,4114,NA,12462.1,46494,2705
663,0,2009,0.64,46.03,0,-6387,33,75,-8621.2,17,7794,9989,NA,37459,41436,8100
664,0,2010,1.19,99.71,0,-14022,-3985,75,-13741.21,14,15672,16216,NA,256950.8,79468,10395
665,0,2011,0.37,35.28,0,-11345,-12037,0,NA,15,12163,13690,NA,182252.4,24038,10706
666,0,2012,0.3175,30.27,0,-6227,-42,0,NA,14,13775,14919,NA,60472.6,23436,9534
667,0,2013,0.5166,75.79,0,-9499,-37,0,NA,16,19295,19556,NA,281205.8,56038,12625
668,0,2014,0.71,126.56,0,-18522,-28,0,NA,22,33429,33533,4619.7,1062030,92079,26580
669,0,2015,0.381,75.21,NA,-14385,-27,0,NA,20,24661,24805,98505.8,147907.2,48222,18776
670,1,2008,10.08,2334.45,33300,-24400,838500,5263900,5.62,13800,1308200,4442600,NA,781429.8,3223540,2497100
671,0,2009,16.94,3954.98,-18500,-3900,576900,3976200,3.17,12500,1551800,4564300,NA,1097205,4391644,2995900
672,0,2010,36.24,8245.04,81700,438300,1093500,5652800,9.32,17500,2059900,5249500,NA,875030.6,8906218,3361700
673,1,2011,31.935,7007.84,195300,727700,1412400,7116100,11.11,19250,2137800,5644700,NA,901915.8,7948612,3204300
674,0,2012,35.025,8198.45,238600,718200,1466900,7183200,11.41,19100,2472800,6156700,NA,698774.2,8686617,3969900
675,0,2013,55.83,12729.23,218300,825800,1569700,7434900,12.28,19700,2798500,6659400,NA,220689.3,13095226,4653400
676,0,2014,56.26,12792.03,292600,932800,1756200,8303900,12.71,22000,2970800,7047500,253203.1,384449.5,13055533,4407200
677,1,2015,44.04,9871.34,280400,876000,1711700,8024600,12.75,30000,3135300,8628000,14065640,509712.7,11532612,5756100
678,0,2010,17.24,2419.61,81641,250147,1124456,2508521,18.36,13400,692961,4511567,NA,109969.6,3330811,3603330
679,0,2011,28.64,3648.31,139704,369212,1260373,2887629,17.36,14500,769535,4555043,NA,65745.6,4214806,3570718
680,1,2012,4.37,544.07,-13743,-1529484,1097926,2760967,12.21,24700,837718,2839095,NA,56823.2,1983021,1950032
681,0,2013,10.57,1322,12038,-255938,886790,2498599,7.91,23400,771619,2315293,NA,28984.8,1658466,1523263
682,0,2014,0.2301,29.01,46637,-617280,746536,2272736,5.29,20600,875966,1877036,NA,47836.6,1174116,986713
683,0,2012,NA,NA,-5943,-93082,399402,1285641,-10.43,3300,958439,3029584,NA,NA,NA,2189326
684,0,2013,17.36,2477.15,2347,-108839,513282,1378612,-4.9,3300,971616,2910386,NA,16874.3,2194038,2093401
685,0,2014,20.87,2952.68,6242,-105249,536103,1372316,-5.57,3300,1222099,3007402,91497.6,139359,2440302,1936705
686,0,2015,21.61,2902.22,-19640,-153509,569840,1416059,-7.86,4500,882825,3133516,5674985,253859.3,3059410,1982710
687,0,2004,25.88,85802.75,2186000,6527000,15840000,40787000,14.47,162700,8541000,108844000,NA,2187257,111172770,61735000
688,1,2004,52.25,88014.06,1372000,5166000,15708000,29261000,18.49,153000,8639000,27987000,NA,1045483,87164260,15920000
689,0,2005,59.54,98788.38,2304000,5825000,18236000,32562000,18.19,157000,10454000,31727000,NA,944632.2,98197480,16564000
690,0,2006,62.55,102712.1,1347000,6373000,19213000,35137000,18.33,168000,9130000,29930000,NA,1046967,102499900,17918000
691,1,2007,77.03,123995.3,1973000,7071000,21378000,39474000,18.42,185000,10151000,34628000,NA,1459219,125396150,21437000
692,1,2008,54.07,83977.19,1879000,6647000,22924000,43251000,17.29,198000,10806000,35994000,NA,2002022,90722680,19964000
693,0,2009,61.1,95343.13,2100000,7714000,23070000,43232000,17.98,203000,12571000,39848000,NA,2025407,99810400,24842000
694,0,2010,65.33,103537.6,1894000,7497000,31146000,57838000,15.69,294000,17569000,68153000,NA,1755370,122736890,41475000
695,1,2011,66.54,104029.3,2372000,8834000,34807000,66504000,15.57,297000,17441000,72882000,NA,1990582,126471400,41467000
696,1,2012,68.02,105216.9,2090000,8304000,34107000,65492000,14.39,278000,18720000,74638000,NA,1572198,126908880,45943000
697,0,2013,82.71,126843.9,2104000,8891000,35230000,66415000,15.28,274000,22203000,77478000,NA,1266965,146575590,48722000
698,0,2014,96.73,144766.8,2199000,8757000,35707000,66683000,15.16,271000,20663000,70509000,3918524,1205504,164732400,41369000
699,0,2015,101.45,147797.4,1941000,7442000,34597000,63056000,15.74,263000,23031000,69667000,114180400,1193805,167004920,41243000
700,0,2007,8.2,347.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,67340.4,NA,NA
701,0,2008,0.38,16.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,80839.1,NA,NA
702,0,2009,1.57,67.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,140301.5,NA,NA
703,0,2010,1.95,100.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,79669,NA,NA
704,0,2011,1.64,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,53918.8,NA,NA
705,0,2012,2.21,114.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,46754.6,NA,NA
706,0,2013,14.46,755.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,179505.8,NA,NA
707,0,2014,11.51,604.67,NA,NA,NA,NA,NA,NA,NA,NA,8390,158340.7,NA,NA
708,0,2015,16.15,1067.62,NA,NA,NA,NA,NA,NA,NA,NA,1705623,206715.9,NA,NA
709,1,2007,764.155,754.97,31599,89592,NA,613929,14.96,1944,NA,8181353,NA,16458.5,1880136,1225668
710,0,2008,622.524,609.27,-37665,-101115,NA,520563,-18.9,1919,NA,8506687,NA,20442.2,1203729,1220493
711,0,2009,16.2,304.37,-90353,-318680,NA,461617,-50.92,1801,NA,7930676,NA,29315.1,730419,1216809
712,0,2010,10.7,202.22,-85492,-432292,NA,390825,-56.73,1763,NA,7276259,NA,45617.5,570908,840786
713,1,2011,6.93,288.37,-3983,-230729,NA,348299,-67.44,1706,NA,6983420,NA,138316.2,816221,705661
714,0,2012,9.26,392.66,1050,34906,NA,328532,12.66,1553,NA,6802259,NA,51199.6,891427,706335
715,0,2013,17.78,804.19,-238188,34952,NA,302438,11.56,1472,NA,7166901,NA,71740.8,1438086,1075267
716,0,2014,19.28,967.32,39450,107070,NA,308432,36.16,1506,NA,7351483,70112.7,88271.8,1482328,1144992
717,0,2015,19.97,1427.3,43436,115014,NA,352355,38.12,1883,NA,9428495,1574209,79849.8,1937635,1614030
718,0,2008,29.2,3010.55,76321,213913,287196,5194482,4.17,43000,2105250,3550304,NA,220971.1,2692344,1839717
719,1,2009,28.15,3169.99,77002,255331,351203,6119465,4.32,43200,2214535,3698742,NA,305201.1,2917189,1896507
720,1,2010,28.02,3321.39,91696,320130,430271,6545791,4.89,48100,2946499,5137879,NA,170764.3,3164543,3053155
721,0,2011,20.35,2347.46,100100,339400,488700,8037400,4.96,45000,2990000,5706300,NA,232423.1,2762053,3539800
722,0,2012,23.94,2587.4,74416,-31167,421859,8218180,4.15,46800,3147293,5537620,NA,234853.3,2795968,3131629
723,1,2013,29.51,2897.76,92578,311455,449588,8153495,4.26,45500,3131602,5522145,NA,187101.7,3626031,3163154
724,0,2014,30.89,4751.55,82024,256864,403176,8356783,3.86,43300,3434113,6005339,349844.8,303292.7,3776811,3212045
725,0,2015,30.89,4676.99,-80237,-257715,535188,17989880,2.34,92000,6246085,14014298,10816840,362538.9,8233403,8077470
726,0,2008,2.5,55.39,562,2422,4488,32091,5.41,NA,20725,29657,NA,17.4,14091,20532
727,0,2009,6.6,172.66,1219,18730,22511,40938,46.4,1200,42485,54170,NA,12436.1,48797,38165
728,0,2010,9.37,291.71,4531,42627,52181,109218,38.75,1400,64864,129162,NA,164788.6,316045,94964
729,0,2011,2.52,82.91,7518,49918,61137,223851,21.89,1600,66792,227352,NA,132314.8,245580,165977
730,0,2012,1.93,72.37,3036,25053,39836,143558,15.9,1330,73648,276558,NA,52426.7,124530,215854
731,0,2013,1.68,70.67,5546,43051,61563,198983,22.27,1364,95858,322597,NA,217268.7,181924,256555
732,0,2007,32.6,598.57,12549,31800,97478,206601,20.48,364,31591,765465,NA,24136.9,856204,453269
733,0,2008,27.5,506.74,13198,34595,106086,220347,20.92,379,31961,848505,NA,31574.1,784793,470954
734,0,2009,22.74,420.66,10280,25451,106920,216097,18.36,375,28010,877390,NA,14600.9,669880,499635
735,0,2010,26.68,494.67,16740,41146,110707,215638,19.32,375,38027,934651,NA,8881.2,790166,550736
736,1,2011,23.94,445.1,14566,35444,115709,238955,22.76,385,68915,1038810,NA,9492.2,757476,607852
737,1,2012,26.23,489.28,15542,37860,121162,261547,21.14,385,42911,1087499,NA,6233.1,850405,610202
738,0,2013,29.91,603.05,14135,36519,196284,276869,19.29,379,39652,1109986,NA,9189,956493,656172
739,0,2014,32.87,665.23,24971,76777,216634,319668,29.05,395,68093,1269304,8139,11560,1047363,744520
740,0,2015,30.61,623.89,23272,61154,225391,305082,26.21,399,73376,1340963,224768.8,14275.6,1018002,764608
741,0,2004,275.784,57109.75,1197000,3367000,4048000,30752000,13.16,129000,9369000,53902000,NA,2111476,57646920,36613000
742,0,2005,238.486,46493.61,1241000,3504000,4107000,31944000,12.86,133000,8845000,53158000,NA,1854418,60799736,37989000
743,1,2006,338.144,70885.94,1890000,4974000,5478000,34285000,15.98,133000,9562000,59998000,NA,2669835,76547240,44298000
744,0,2007,32.42,61710.91,2874000,7240000,6781000,35510000,19.1,137000,11314000,60928000,NA,2532357,80551058,44214000
745,1,2008,21.47,39741.52,2673000,6821000,7404000,37843000,19.57,150000,11666000,62497000,NA,3737928,72922975,45018000
746,0,2009,32.38,60389,2049000,5081000,5697000,36149000,15.76,144000,11889000,63117000,NA,3480843,60676943,47146000
747,0,2010,37.6,71198.63,2314000,6187000,6726000,38063000,17.67,149000,12225000,69206000,NA,3034697,75047646,49696000
748,0,2011,37.71,67746.44,2785000,7458000,7781000,40893000,19.03,156000,13757000,72124000,NA,2981686,66295952,50663000
749,0,2012,49.15,87099.75,3087000,8633000,8863000,42278000,20.96,166000,13709000,74898000,NA,2226220,107511000,52939000
750,0,2013,74.35,130653.6,2984000,8932000,9450000,45041000,20.98,175000,14109000,81241000,NA,1956521,130533000,61200000
751,0,2014,95.5,161940.3,4242000,11392000,11540000,48813000,23.64,180000,15176000,84186000,1750315,1689051,165075000,60854000
752,0,2015,107.08,177022.1,5016000,13054000,13224000,52465000,25.21,185000,16758000,88182000,154391200,2098901,181445000,61428000
753,0,2007,NA,165440.8,1470260,5673980,9944901,16593986,30.64,16805,17289138,25302587,NA,2727468,202406285,22689679
754,1,2008,NA,71242.13,1626738,5853596,13174044,21795550,30.43,20222,20178182,31767575,NA,3200453,81107199,28238862
755,0,2009,NA,150513.7,1860741,8381189,14481743,23325858,34.24,19835,29166958,40234167,NA,1776455,172422055,36004224
756,1,2010,NA,149292.5,2291000,10796000,18701000,29118000,34.95,24400,41562000,57586000,NA,1602423,158991426,46241000
757,1,2011,NA,164454.6,2589000,12326000,24674000,37862000,32.22,32467,52758000,72574000,NA,1551836,169090527,61131000
758,0,2012,NA,185472.3,2598000,13386000,29541000,50175000,25.43,53861,60454000,93798000,NA,1299377,190269372,74703000
759,0,2013,NA,309485.4,2282000,14496000,34001000,59825000,23.55,47756,72886000,110920000,NA,1050475,323675281,89545000
760,0,2014,NA,153034.4,3331000,17259000,40688000,66001000,25.57,53600,80685000,131133000,14519290,530168.6,300930074,107728000
761,1,2015,793.96,227517.1,3303000,19651000,46825000,74989000,25.82,61814,90114000,147210000,341282000,546108.3,466289617,122326000
762,0,2007,9.35,1128.25,-9130,44067,59819,222622,-6.48,871,449584,635799,NA,622847,945587,492529
763,0,2008,2.71,459.35,3807,-33366,-5251,192655,-13.27,742,73850,952720,NA,995112.3,842810,763106
764,0,2009,6.29,1499.58,-7680,60146,91598,312548,21.7,656,166463,1008308,NA,2404776,1598110,868766
765,0,2010,11.34,2907.13,-123532,-74549,175990,421813,36.19,686,432021,1282421,NA,2674073,2840883,966045
766,0,2011,5.23,1462.42,81978,233142,233308,477634,43.42,735,362744,1308062,NA,2459081,1226064,1146378
767,0,2012,5.63,1607.37,8879,23833,93778,321143,19.76,735,282898,1291925,NA,1350310,1497179,1149886
